EditFreq	WN_ef	WN_log	WNN_ef	WNN_log	Cum_WN_ef	Cum_WNN_ef
25	390	2.591064607026499	232	2.3654879848909	0.7967308778314613	0.8570935558762628
26	251	2.399673721481038	103	2.012837224705172	0.8046056346865784	0.8603250298048566
27	206	2.3138672203691533	128	2.1072099696478683	0.8110685825437661	0.8643408420656334
28	259	2.413299764081252	117	2.0681858617461617	0.8191943276651816	0.8680115454602497
29	225	2.3521825181113627	84	1.9242792860618816	0.8262533726548283	0.8706469222563845
30	223	2.3483048630481607	99	1.99563519459755	0.8332496705779004	0.8737529020518291
31	169	2.2278867046136734	92	1.9637878273455553	0.8385517977034573	0.8766392671142624
32	186	2.2695129442179165	84	1.9242792860618816	0.8443872748948986	0.8792746439103972
33	244	2.387389826338729	182	2.2600713879850747	0.8520424170170044	0.8849846269686892
34	161	2.2068258760318495	75	1.8750612633917	0.8570935558762628	0.8873376419652381
35	158	2.1986570869544226	88	1.9444826721501687	0.8620505741356591	0.8900985128945221
36	164	2.214843848047698	59	1.7708520116421442	0.8671958335947795	0.891949551358474
37	152	2.1818435879447726	84	1.9242792860618816	0.8719646106544519	0.8945849281546088
38	137	2.1367205671564067	55	1.7403626894942439	0.8762627847148146	0.8963104724854113
39	104	2.0170333392987803	47	1.6720978579357175	0.8795256321766958	0.8977850285499153
40	199	2.298853076409707	86	1.9344984512435677	0.8857689653008722	0.9004831524126247
41	124	2.093421685162235	56	1.7481880270062005	0.8896592834284998	0.9022400702767146
42	130	2.113943352306837	60	1.7781512503836436	0.8937378427558511	0.9041224822739536
43	113	2.0530784434834195	43	1.6334684555795864	0.8972830520173182	0.9054715442053084
44	110	2.041392685158225	51	1.7075701760979363	0.9007341406789232	0.9070715944029617
45	123	2.089905111439398	66	1.8195439355418688	0.9045930852732634	0.9091422475999247
46	88	1.9444826721501687	49	1.6901960800285136	0.9073539562025476	0.9106795507310034
47	107	2.0293837776852097	58	1.7634279935629373	0.9107109242642907	0.9124992156616678
48	80	1.9030899869919435	34	1.5314789170422551	0.9132208069272761	0.9135659157934367
49	37	1.568201724066995	18	1.255272505103306	0.914381627658907	0.9141306393926084
50	281	2.44870631990508	203	2.307496037913213	0.9231975905126435	0.9204994666499341
51	52	1.7160033436347992	32	1.505149978319906	0.9248290142435841	0.9215034197151283
52	78	1.8920946026904804	44	1.6434526764861874	0.927276149839995	0.9228838551797703
53	78	1.8920946026904804	43	1.6334684555795864	0.9297232854364058	0.9242329171111251
54	71	1.8512583487190752	41	1.6127838567197355	0.9319508062998055	0.9255192319759051
55	76	1.8808135922807914	40	1.6020599913279623	0.9343351948296417	0.9267741733073979
56	59	1.7708520116421442	34	1.5314789170422551	0.9361862332935935	0.9278408734391668
57	77	1.8864907251724818	56	1.7481880270062005	0.9386019953567171	0.9295977913032566
58	69	1.8388490907372552	34	1.5314789170422551	0.9407667691535421	0.9306644914350254
59	39	1.591064607026499	22	1.3424226808222062	0.9419903369517475	0.9313547091673464
60	86	1.9344984512435677	58	1.7634279935629373	0.9446884608144569	0.933174374098011
61	55	1.7403626894942439	34	1.5314789170422551	0.9464140051452594	0.9342410742297798
62	70	1.845098040014257	39	1.591064607026499	0.9486101524753717	0.9354646420279852
63	47	1.6720978579357175	21	1.3222192947339193	0.9500847085398758	0.9361234862270189
64	56	1.7481880270062005	25	1.3979400086720377	0.9518416264039656	0.9369078245592019
65	58	1.7634279935629373	26	1.414973347970818	0.9536612913346301	0.9377235364246721
