Geneid	GFL	Sub	SG	OLl	OLe	BuL	Sup	VL	BrL	ANC	Ret	BM	DCI	Hep	MDC	Tes	MVI	Man	Hea	MVC	Gil	Kid	Ten	Suc	MDI
Dopeav2094978m_RBFOX1	1.4569581895127786	2.082362453455312	1.964046044157005	2.248927160002928	1.5396200552580879	1.4694899462637108	2.093606337131645	2.2622614211616914	2.0778345862731125	1.8057900098503599	1.3119295025960664	0.8315204263604701	1.366378993761821	0.6459288149240207	1.1346779360103791	0.9186120163666327	1.7345813270848713	1.1346679083683004	1.7915797154291193	2.008156434186238	1.2310297468662401	1.6534928945622687	0.8081959961910371	0.9802297989554295	1.8159486350223888
Dopeav2094050m_TSEN34	1.9358534885178103	1.9032336290297638	1.8022666715910731	2.2736739279658678	2.133780140183159	1.7952400608301338	1.9914047820389398	2.068315432109197	1.8861199047661728	1.3948404902467364	2.021326583319375	0.9795531293023225	1.1630851242658122	0.7791588455921431	1.3205553754935488	1.8573511515927095	1.0860200640575248	0.7713086559250975	1.3805748752797542	1.2069366753289985	1.2760462617316353	1.1741476876254304	1.1147616676868792	1.2330298132110753	1.1393128131576973
Dopeav2036703m_RTCA	2.179203977189778	2.351297700895442	2.4263585381912645	2.0375043870553435	1.6199031046120762	1.7342251788784306	2.0616170940892533	2.04023103142768	2.0826919756037667	1.8203345439980307	1.682552916388332	1.107109621597459	1.23521840715962	1.5117602397382617	1.51602730716889	1.073148782202199	1.699753894224011	1.4381549204872868	1.8195056355292116	1.832634956078834	1.3772760083965907	1.8007796288482154	1.3040155235880144	1.3950464785709789	1.8324851489517537
Dopeav2005419m_ADAR-like	2.2289615868588335	1.9284351246536469	1.9172580825218495	1.9505523877326314	2.150298209754667	2.130538582304544	1.910315081057059	1.9911732346578712	1.9127840931344815	1.8541508887800193	1.9110451281579472	1.8934540104518784	1.9232617051359073	1.6562727357121412	2.122612815822451	2.254459436626889	1.7307117054915642	2.040149644441183	1.8596304312950744	1.8213568941697877	1.9946737377549877	1.812020652391175	1.9923389343706204	2.0894094185947245	1.8069921313074389
Dopeav2007070m_	0.5296060492415796	0.42612919562514334	0.5569217611353858	0.10976624433907493	0.0	0.5735724161993289	0.19557595810296272	0.20051688188825487	0.3359115655818978	0.13394664737682743	0.08020069040114856	0.13166854711145795	0.0	0.06343757666304745	0.0	0.5601677985307508	0.0	0.0	0.10839853681020031	0.08520036607980726	0.07780269116049784	0.0	0.0	0.12603786477340612	0.0
Dopeav2008355m_	0.30221775380730553	0.2148762995251601	0.2336621115877865	0.06440448329093057	0.1855567945187244	0.3720310189070041	0.17256933222958717	0.21811548063490244	0.15846043970586673	0.0	0.0400655207666035	0.13978414496986982	0.03579077051936194	0.0	0.1060107067435104	0.05385585142181812	0.0	0.0	0.0	0.099749576662261	0.09121633083163204	0.015850531537108633	0.16885549678186668	0.23603153212302316	0.047477108028471604
Dopeav2066729m_EARS2	1.5801147163694482	1.7340575977606296	1.6436378373503535	1.5941301542604127	1.4772936424939613	1.3078294905719627	1.5974533824470474	1.4961460116012204	1.496582301285734	1.2009579384038993	1.048793353771697	0.943685263754105	0.7466157162073483	0.8113690655480317	0.9330271490139076	1.1950844311834283	0.918512087372466	0.8716688454823887	1.1737356469516351	1.0274048314174247	0.7687979390467856	1.2352235022573252	0.7836591552381487	0.9866803386157597	0.9702787211162998
Dopeav2122328m_SRSF3	0.9362057123551334	0.9310891846837183	0.811726221720572	1.1711998014629517	1.1191821410594025	0.8899443173036199	0.9597033403388193	1.2818248784963755	0.8682037259115454	0.8030282551524945	1.2355567132710388	0.6360584926032229	0.23769336104554212	0.03132001471053766	0.1318416211493942	0.20216927532414133	0.5816614708908582	0.1090315060227285	0.1997916963575454	0.1950175691007292	0.1377162069722791	0.3361342254490668	0.2896740543470141	0.2834274391378902	0.3823882116031614
Dopeav2040434m_HNRNPA1	1.6082341907901048	1.7899294638896792	1.4583511443903165	1.972494995322588	2.159158328754023	2.0468157755088816	1.955467603526415	1.9543548207677828	1.807551391171077	1.6051850563994547	1.9529098185806406	1.295209511404494	1.1725033435733716	0.31970596726508654	0.9069296313460662	1.5781306057143047	1.442241227742622	1.4699326893890892	1.3537141812713092	1.0630285975723348	0.8287573524227648	1.0741182763589232	1.1493379143863944	1.1727356532521918	1.3397397968756002
Dopeav2126036m_	0.0	0.0	0.0	0.0	0.0	0.039415322119214224	0.03448958639791941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02684232263262536	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dopeav2017526m_ADAR2	0.2810635258520903	0.8434849508609702	0.4773175148996106	1.2280298376056795	1.5486814006814245	1.1207567695291103	1.1341661513414103	0.970096849167788	0.9741190593048328	0.7699102185528283	0.437379259433268	0.2737713025477679	0.6527793480134171	0.21438738867782128	0.7841234780190107	0.5591503789204567	0.6050003591748773	0.21736434488188125	0.24724555401994755	0.673385628679568	0.49460817487695286	0.13089959227269615	0.889054135999976	0.8354030100403482	0.6835995134492867
Dopeav2016222m_ADAR1	0.7363832563441306	0.43078099298586175	0.43601733950565796	0.3853057927534927	0.4528037354870963	1.118286830787865	1.0402904337592374	0.6072342412389936	0.8244346968194928	0.2603129408762893	0.39298398440448856	0.31581742422628367	0.4116567212534951	0.35039340353785353	0.3413878282676152	0.8503490580597334	0.3010270961977039	0.173487089183591	0.21353772236910304	0.29701803922965536	0.26948450432969046	0.16311919369827607	0.280250914242878	0.3319899159373182	0.34091661289210756
Dopeav2021847m_PTRH2	2.136862700767757	2.352963067844125	2.26926388216617	2.101305906363963	1.7579945745170482	1.8955065871759866	2.0202210870577386	1.9895902539461592	2.059060887444225	1.7290016831493513	1.6138260655903833	1.030561988799853	1.3796849870506256	1.0744672406239673	1.3371666245886145	1.657188459190421	1.8427940571543822	1.0371467427512095	1.5568730073345465	1.745833512028066	1.1623175838608806	1.4391942455324644	1.3092476814589815	1.1365296112340226	1.7137327499747457
Dopeav2118252m_ADAR2	0.42045452111108755	1.1410502832851164	0.8260786190056986	1.5673985519533205	1.7344990203446067	1.349066430187641	1.442892752850247	1.327228614530185	1.311609057920232	1.0339136566496825	0.7438047240103047	0.643102635118481	0.8537663857947593	0.2715635716317117	1.00350776185572	0.7808969417269632	0.9888243215781602	0.2577896637889686	0.4043372440243063	1.0034444794318833	0.6466010310874538	0.2836854394980402	1.0898632024812633	0.9394360887722696	0.9811219432526068
Dopeav2072076m_CELF4	0.3925564288223767	1.4344436059255992	0.8772041994190491	1.640322845633974	1.6625997071716314	1.8575527705453283	1.7945725034110256	2.3694200880348757	1.7743271091216275	0.7813069226843042	0.2871094553729477	0.0856943900060139	0.24975102609211217	0.0	0.2341956766396065	0.15431337565134604	0.5252013429683945	0.11251882516257493	0.0	0.39243185648129875	0.3440816261508926	0.07634571556789516	0.11631921833316496	0.3510866655499968	0.4220183799404542
Dopeav2072123m_CELF3	1.2639031077176117	1.8952601904045057	1.6445912051194305	2.236977708999576	1.7532423288748096	1.7269127971830396	2.197594749263358	2.683817577352236	2.212603654521958	1.2034741900935562	2.07922764408278	0.12443051642096596	0.2756904907427186	0.0666074626408878	0.6255633036837702	0.1907710678753169	0.8626716337425552	0.27867045529524	0.036840538147083865	0.6204117127375011	0.706675374124502	0.1687967640443739	0.4749943496929338	0.868498393771057	0.7089655173568241
Dopeav2072116m_CELF4	0.4330468983903107	1.1376367256148998	0.8428586691478518	1.4494711076073377	0.8742602787629307	0.6410395951126564	1.397663773394928	1.8717915016753184	1.4511524367183402	0.515840577487154	1.2453731752582113	0.03188759160682822	0.021895598929322208	0.00968706769549029	0.1400025204843734	0.08584298258777508	0.2714693535486097	0.028921801147417624	0.022928053114173907	0.17079346850253732	0.177962001443466	0.037227821417260075	0.020227037485554912	0.18502732511662393	0.21107596699883255
