	Ret	ANC	BrL	VL	Sup	BuL	OLe	OLl	SG	Sub	GFL	BM	DCI	Hep	MDC	Tes	MVI	Man	Hea	MVC	Gil	Kid	Ten	Suc	MDI
GFL	0.56364432345279	0.6886071742342196	0.8440714529463003	0.7915561361904956	0.8236108006336481	0.8702491156240231	0.8165893965818192	0.8174200336990164	0.9172978389519627	0.900718117533809	1.0	0.31189142861006386	0.32256485315458694	0.2566959147998801	0.32378162577379255	0.28275740559692575	0.3342187592499666	0.2640968245808084	0.3383855883294055	0.31558540781930444	0.3090956234702238	0.304090099680102	0.3214951263477831	0.3513089472329362	0.4242691793603233
BM	0.7112339243094103	0.6992900922253396	0.4209006411351562	0.4538778002825526	0.41265604458657623	0.4236987312410995	0.3956782153110529	0.40315670172875784	0.4127523513327988	0.3956383611405386	0.31189142861006386	1.0	0.8994651755303693	0.8831586164139051	0.9201431700136081	0.876245255791585	0.9223333577202466	0.9177199760423065	0.9431921574844296	0.9289694345208396	0.9259490712355126	0.944358542494353	0.9454008289478602	0.948295796554606	0.8949473140955353
DCI	0.7228071605758721	0.6685969027279164	0.4288697449462687	0.466721220974272	0.4229452725697511	0.4297446498173125	0.40721180250982153	0.4122384859849833	0.41778799281811807	0.39757443260800146	0.32256485315458694	0.8994651755303693	1.0	0.8987220794869047	0.9403758552919679	0.8768885844307419	0.9079632025418396	0.8694890137115332	0.9152885484540001	0.9446123279380341	0.9276631438355517	0.9072854493307657	0.9106717844442349	0.9291700935064	0.8872050980092989
Hep	0.6553962039764769	0.6149450735462947	0.3510645576913461	0.3815997222463567	0.3423707787573159	0.3510313898897287	0.32492621798873117	0.33026619334565577	0.34962514285625096	0.3211342372064847	0.2566959147998801	0.8831586164139051	0.8987220794869047	1.0	0.9147661876778451	0.8713530650084291	0.8570047816580597	0.857673816082422	0.8818630635327007	0.8978669208723634	0.9187673884332989	0.8989277864363131	0.8951641553360458	0.915989769362751	0.8195561159796002
MDC	0.728903069929228	0.6809949121894603	0.43176344429330094	0.4701273210705216	0.4253408091058439	0.4329781003396382	0.407743851015971	0.41402785934770536	0.4229973076290992	0.40079363806628776	0.32378162577379255	0.9201431700136081	0.9403758552919679	0.9147661876778451	1.0	0.8721173304544542	0.9049949337729136	0.8835141524246589	0.9302796631713732	0.9594334119787687	0.9432999652182238	0.9131649850954026	0.9374170214371889	0.9568362562337814	0.8920314264289503
Tes	0.6718715448374473	0.6435089692634635	0.391989443114903	0.42723495595492045	0.3866300782588398	0.38994942734740634	0.37193035275939673	0.3795414280653043	0.376598917746186	0.35970720095676156	0.28275740559692575	0.876245255791585	0.8768885844307419	0.8713530650084291	0.8721173304544542	1.0	0.8799101371744663	0.8549747267505606	0.8842184118485801	0.8822493395469546	0.8973926791877408	0.8957517083363121	0.888841481250531	0.8979698033041198	0.8382756959547795
MVI	0.7361230833174183	0.6998464295824346	0.44518379733952423	0.4879780485160502	0.44360728433264085	0.44974127183579965	0.43174882360681566	0.4373557599706075	0.43380915541828363	0.4195626279319358	0.3342187592499666	0.9223333577202466	0.9079632025418396	0.8570047816580597	0.9049949337729136	0.8799101371744663	1.0	0.8940581999963215	0.9220030869998067	0.9249495923756141	0.9041702809182586	0.9224965922447074	0.922333302914714	0.9218094697859037	0.9242575598591404
Man	0.6365720217958785	0.6608988181169165	0.36701280776666084	0.3942180617492312	0.3582298147947285	0.36709546181816227	0.3428959051877781	0.34880526209991997	0.3627286634164214	0.3438303508839056	0.2640968245808084	0.9177199760423065	0.8694890137115332	0.857673816082422	0.8835141524246589	0.8549747267505606	0.8940581999963215	1.0	0.89229756296903	0.8862542980505765	0.8909320922297361	0.9126620799923254	0.9111345509900126	0.9018233044617954	0.8464952168637601
Hea	0.7632006890321699	0.703893186504701	0.45253161373464135	0.4962946780870366	0.44756580791764905	0.4542613168251269	0.4327119881569802	0.4405884819934294	0.4387403246300423	0.4244539474632948	0.3383855883294055	0.9431921574844296	0.9152885484540001	0.8818630635327007	0.9302796631713732	0.8842184118485801	0.9220030869998067	0.89229756296903	1.0	0.9397223441948039	0.9323854363034427	0.9481242730751086	0.9341201215869215	0.9481967484262801	0.9142381028007025
MVC	0.7302273186302156	0.6791244259550138	0.4221633979471275	0.45731821049567695	0.4142905591013655	0.4227042945247055	0.3984967808369945	0.405673349280794	0.41500424302009437	0.3919841363598644	0.31558540781930444	0.9289694345208396	0.9446123279380341	0.8978669208723634	0.9594334119787687	0.8822493395469546	0.9249495923756141	0.8862542980505765	0.9397223441948039	1.0	0.9440134150049624	0.9215577833920943	0.9383764488968175	0.9514803682876398	0.9111069911993116
Gil	0.7048739627992289	0.6801107119366745	0.419018016911326	0.44742272801996064	0.40562417034515175	0.4164756638287301	0.38945020274897724	0.3977048902598851	0.4118033338998892	0.3869471323186359	0.3090956234702238	0.9259490712355126	0.9276631438355517	0.9187673884332989	0.9432999652182238	0.8973926791877408	0.9041702809182586	0.8909320922297361	0.9323854363034427	0.9440134150049624	1.0	0.9320003702367671	0.9370377274462283	0.953821937836179	0.8810650981233351
Kid	0.7093451644873625	0.6843819862961388	0.41359545414079907	0.4495219661003239	0.4079266998454621	0.41471817305561687	0.39249635607913047	0.3987017605403908	0.40371952616217766	0.38774355663278615	0.304090099680102	0.944358542494353	0.9072854493307657	0.8989277864363131	0.9131649850954026	0.8957517083363121	0.9224965922447074	0.9126620799923254	0.9481242730751086	0.9215577833920943	0.9320003702367671	1.0	0.9361624630018464	0.9426156132718283	0.8877945692879599
Ten	0.7121298150469287	0.7116296262747658	0.42792176064590437	0.4537083316825135	0.41543087009503576	0.4292511720701773	0.398793263549089	0.4060804532767454	0.42837806116491156	0.4054313955163671	0.3214951263477831	0.9454008289478602	0.9106717844442349	0.8951641553360458	0.9374170214371889	0.888841481250531	0.922333302914714	0.9111345509900126	0.9341201215869215	0.9383764488968175	0.9370377274462283	0.9361624630018464	1.0	0.9651716683684244	0.8914905476904127
Suc	0.7430722075338015	0.7260668650722109	0.46408540060411513	0.4947317977499861	0.4532326590456417	0.46456411210904697	0.43481116925869195	0.4421958883042529	0.45322264067350965	0.4331876384290523	0.3513089472329362	0.948295796554606	0.9291700935064	0.915989769362751	0.9568362562337814	0.8979698033041198	0.9218094697859037	0.9018233044617954	0.9481967484262801	0.9514803682876398	0.953821937836179	0.9426156132718283	0.9651716683684244	1.0	0.90616668736855
MDI	0.807027092277108	0.735560875289861	0.5395735801963139	0.5978163105548423	0.542662383231417	0.5435388299399273	0.5339552972908401	0.539938256930167	0.5156040497485798	0.509362613241876	0.4242691793603233	0.8949473140955353	0.8872050980092989	0.8195561159796002	0.8920314264289503	0.8382756959547795	0.9242575598591404	0.8464952168637601	0.9142381028007025	0.9111069911993116	0.8810650981233351	0.8877945692879599	0.8914905476904127	0.90616668736855	1.0
